epoch,IoU,accuracy,loss,lr,val_IoU,val_accuracy,val_loss
0,0.9245792627334595,0.9299039244651794,0.1557503342628479,0.001,0.9391500949859619,0.8922945857048035,0.3561270534992218
1,0.9602277278900146,0.946161687374115,0.09754184633493423,0.001,0.9573543071746826,0.9087397456169128,0.20646291971206665
2,0.967262327671051,0.9507955312728882,0.08406329900026321,0.001,0.96602863073349,0.941534698009491,0.09635823220014572
3,0.9694668650627136,0.9520471096038818,0.07962892949581146,0.001,0.9676405787467957,0.9332326054573059,0.12550531327724457
4,0.9726026654243469,0.9547674059867859,0.07360852509737015,0.001,0.9693324565887451,0.9420560002326965,0.09830648452043533
5,0.9753754734992981,0.9576694965362549,0.06642401218414307,0.001,0.9565129280090332,0.8994674682617188,0.2988171875476837
6,0.9764426946640015,0.9587220549583435,0.06358864158391953,0.001,0.9766867160797119,0.9518159031867981,0.07770397514104843
7,0.9792110323905945,0.9612439870834351,0.057385824620723724,0.001,0.9754009246826172,0.9501368403434753,0.07774258404970169
8,0.9805005192756653,0.9625555872917175,0.0531630776822567,0.001,0.9781923294067383,0.9490839838981628,0.09140109270811081
9,0.9813634157180786,0.9630886316299438,0.05188177525997162,0.001,0.9758116602897644,0.9507579803466797,0.08149348944425583
10,0.9826239347457886,0.9642802476882935,0.04847265034914017,0.001,0.9737739562988281,0.9422352910041809,0.09375610947608948
11,0.9846545457839966,0.9667282700538635,0.042299769818782806,0.001,0.9798729419708252,0.9560871124267578,0.064360111951828
12,0.9854310750961304,0.9672293663024902,0.040669724345207214,0.001,0.9684780240058899,0.9256674647331238,0.15697018802165985
13,0.9863219857215881,0.9684262871742249,0.038594841957092285,0.001,0.9835160374641418,0.9610550999641418,0.052026811987161636
14,0.9875807166099548,0.9694665670394897,0.03482283279299736,0.001,0.9811226725578308,0.9530875086784363,0.08009538054466248
15,0.9882940053939819,0.9700238704681396,0.03278856724500656,0.001,0.9853880405426025,0.9616463780403137,0.057381704449653625
16,0.989379346370697,0.9712543487548828,0.029615294188261032,0.001,0.985154926776886,0.9601955413818359,0.06028623506426811
17,0.99032062292099,0.9718607664108276,0.0277218297123909,0.001,0.9833285212516785,0.9575710296630859,0.06830155104398727
18,0.9902358055114746,0.9720242619514465,0.02759689837694168,0.001,0.9768712520599365,0.9479668736457825,0.10969424992799759
19,0.9909034967422485,0.9725250005722046,0.025911683216691017,0.001,0.9877045750617981,0.9636611938476562,0.05969158187508583
20,0.9914820790290833,0.9728978276252747,0.02412237785756588,0.001,0.9836392998695374,0.9573656916618347,0.07036059349775314
21,0.9921582341194153,0.9736906886100769,0.02207060717046261,0.001,0.9873815178871155,0.9640395045280457,0.04645717516541481
22,0.9924575090408325,0.9738717675209045,0.021122151985764503,0.001,0.9875156879425049,0.9635594487190247,0.04846920073032379
23,0.9929348826408386,0.9742386341094971,0.02000904083251953,0.001,0.9886488318443298,0.9650713801383972,0.048760995268821716
24,0.9931701421737671,0.974450945854187,0.019163286313414574,0.001,0.9873859286308289,0.9626064300537109,0.056823644787073135
25,0.9927725791931152,0.9738842248916626,0.020617440342903137,0.001,0.9866957068443298,0.9610385894775391,0.0699956864118576
26,0.9933558702468872,0.9744508266448975,0.01875312440097332,0.001,0.9879191517829895,0.9644889831542969,0.05029505491256714
27,0.99334317445755,0.9744726419448853,0.01928059756755829,0.001,0.9852545857429504,0.9580033421516418,0.07958798110485077
28,0.9935272336006165,0.9746967554092407,0.01828889735043049,0.001,0.9874054789543152,0.9630565643310547,0.052872415632009506
29,0.9933679699897766,0.9745885133743286,0.018471993505954742,0.001,0.9883802533149719,0.9637171626091003,0.06677717715501785
