epoch,IoU,accuracy,loss,lr,val_IoU,val_accuracy,val_loss
0,0.9577769637107849,0.9458382725715637,0.10164230316877365,0.001,0.9688676595687866,0.931212842464447,0.13683702051639557
1,0.9772217869758606,0.9597427845001221,0.06211639568209648,0.001,0.9736570119857788,0.9476625323295593,0.08617181330919266
2,0.9821290373802185,0.9642618298530579,0.05004794895648956,0.001,0.9806079864501953,0.9605532288551331,0.058085858821868896
3,0.9852692484855652,0.9669796824455261,0.04203838109970093,0.001,0.984287679195404,0.9611364006996155,0.05681731551885605
4,0.9875863194465637,0.9691675901412964,0.03571625426411629,0.001,0.9867469668388367,0.9669656157493591,0.039361584931612015
5,0.9890277981758118,0.9705172181129456,0.031427428126335144,0.001,0.980116069316864,0.9531780481338501,0.07482687383890152
6,0.9902041554450989,0.9716400504112244,0.028167663142085075,0.001,0.9881038665771484,0.9686128497123718,0.03430604189634323
7,0.9907249212265015,0.9719588756561279,0.02666415274143219,0.001,0.9899771213531494,0.9686324596405029,0.03494756668806076
8,0.9916368126869202,0.9728354811668396,0.023977071046829224,0.001,0.9893882870674133,0.9663233160972595,0.04593156278133392
9,0.991909384727478,0.9730748534202576,0.02344323694705963,0.001,0.9856984615325928,0.9644286632537842,0.04697601497173309
10,0.9926076531410217,0.9737657904624939,0.02097487635910511,0.001,0.9913223385810852,0.9696235656738281,0.031487539410591125
11,0.9932120442390442,0.9742481112480164,0.019518643617630005,0.001,0.9916031360626221,0.9706093072891235,0.030169518664479256
12,0.9926584362983704,0.9737356901168823,0.021032698452472687,0.001,0.9905328154563904,0.9687017798423767,0.037830937653779984
13,0.9936982989311218,0.9746690392494202,0.017928678542375565,0.001,0.992371141910553,0.9709994792938232,0.02836109884083271
14,0.9939447045326233,0.9748760461807251,0.01732349582016468,0.001,0.9897413849830627,0.9674749970436096,0.04733269289135933
15,0.9940919280052185,0.9750565886497498,0.016781022772192955,0.001,0.9919917583465576,0.9706533551216125,0.02997766062617302
16,0.9942590594291687,0.9751706719398499,0.016284696757793427,0.001,0.991041362285614,0.9687628149986267,0.04229031503200531
17,0.9943243265151978,0.9752148985862732,0.016011739149689674,0.001,0.990727424621582,0.9681481719017029,0.043900016695261
18,0.994757354259491,0.9756099581718445,0.014708701521158218,0.001,0.9919622540473938,0.9707095623016357,0.030740689486265182
19,0.9943723082542419,0.9751814007759094,0.015947137027978897,0.001,0.992322564125061,0.9711719751358032,0.029108701273798943
20,0.9946651458740234,0.9754884243011475,0.015035772696137428,0.001,0.9899370670318604,0.9666070342063904,0.04935069382190704
21,0.9948571920394897,0.975640058517456,0.014600403606891632,0.001,0.991356611251831,0.9701222777366638,0.03038862906396389
